,page,country,rev_id,score
14,List of politicians in Poland,Poland,516633096,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:516633096)', 'type': 'RevisionNotFound'}}"
21,Tingtingru,Vanuatu,550682925,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:550682925)', 'type': 'RevisionNotFound'}}"
51,Daud Arsala,Afghanistan,627547024,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:627547024)', 'type': 'RevisionNotFound'}}"
204,Bharat Saud,Nepal,671484594,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:671484594)', 'type': 'RevisionNotFound'}}"
301,Robert Sych,Poland,684023803,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:684023803)', 'type': 'RevisionNotFound'}}"
302,Marek Krzysztof Jeleniewski,Poland,684023859,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:684023859)', 'type': 'RevisionNotFound'}}"
483,Narayani Datt Chataut,Nepal,698572327,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:698572327)', 'type': 'RevisionNotFound'}}"
547,Mohammad Amjad,Pakistan,699260156,"{'error': {'message': 'TextDeleted: Text deleted (datasource.revision.text)', 'type': 'TextDeleted'}}"
736,Gomez das Mariñas,Spain,703773782,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:703773782)', 'type': 'RevisionNotFound'}}"
1054,Valerio De Los Benidos,Cuba,706204833,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:706204833)', 'type': 'RevisionNotFound'}}"
1183,Kamlesh Arya,Fiji,706810694,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:706810694)', 'type': 'RevisionNotFound'}}"
1626,Khaled Aghbariyya,Israel,709508670,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:709508670)', 'type': 'RevisionNotFound'}}"
1770,Vladimir Shamakhov,Russia,710311600,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:710311600)', 'type': 'RevisionNotFound'}}"
1968,Panu Laturi,Finland,711288191,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:711288191)', 'type': 'RevisionNotFound'}}"
2002,Michel Ximenes,France,711513274,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:711513274)', 'type': 'RevisionNotFound'}}"
2125,I Gede Sumantara Ady Pratama,Indonesia,712411818,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712411818)', 'type': 'RevisionNotFound'}}"
2228,Łukasz Kowalski,Poland,712872338,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712872338)', 'type': 'RevisionNotFound'}}"
2229,Blanka Olszewska,Poland,712872421,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712872421)', 'type': 'RevisionNotFound'}}"
2230,Janusz Jerzy Drozdalski,Poland,712872473,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712872473)', 'type': 'RevisionNotFound'}}"
2231,Piotr Michał Trzaska,Poland,712872531,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712872531)', 'type': 'RevisionNotFound'}}"
2232,Anna Teresa Piórkowska,Poland,712873183,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712873183)', 'type': 'RevisionNotFound'}}"
2233,Edward Ignacy Hartwich,Poland,712873308,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712873308)', 'type': 'RevisionNotFound'}}"
2234,Lech Andrzej Zagłoba-Zygler,Poland,712873386,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712873386)', 'type': 'RevisionNotFound'}}"
2240,Elżbieta Teresa Rusielewicz,Poland,712878000,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712878000)', 'type': 'RevisionNotFound'}}"
2241,Adam Wojciech Fórmaniak,Poland,712878267,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712878267)', 'type': 'RevisionNotFound'}}"
2242,Zbigniew Józef Sobociński,Poland,712878343,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712878343)', 'type': 'RevisionNotFound'}}"
2243,Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712878396)', 'type': 'RevisionNotFound'}}"
2245,Jarosław Wenderlich,Poland,712881543,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712881543)', 'type': 'RevisionNotFound'}}"
2246,Ewa Joanna Starosta,Poland,712881676,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712881676)', 'type': 'RevisionNotFound'}}"
2247,Stanisław Grodzicki (politician),Poland,712881741,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712881741)', 'type': 'RevisionNotFound'}}"
2248,Tadeusz Mirosław Kondrusiewicz,Poland,712881882,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712881882)', 'type': 'RevisionNotFound'}}"
2251,Wojciech Hieronim Nowacki,Poland,712889562,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712889562)', 'type': 'RevisionNotFound'}}"
2252,Jacek Rosół,Poland,712889594,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712889594)', 'type': 'RevisionNotFound'}}"
2253,Tomasz Jan Rega,Poland,712889683,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712889683)', 'type': 'RevisionNotFound'}}"
2254,Marek Henryk Gralik,Poland,712889781,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712889781)', 'type': 'RevisionNotFound'}}"
2255,Michał Piotr Sztybel,Poland,712889809,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712889809)', 'type': 'RevisionNotFound'}}"
2256,Jacek Andrzej Bukowski,Poland,712891291,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712891291)', 'type': 'RevisionNotFound'}}"
2257,Kazimierz Drozd,Poland,712891354,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712891354)', 'type': 'RevisionNotFound'}}"
2258,Lech Stanisław Lewandowski,Poland,712891378,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712891378)', 'type': 'RevisionNotFound'}}"
2259,Felicja Gwincińska,Poland,712891476,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712891476)', 'type': 'RevisionNotFound'}}"
2377,Shah Seyyed Ali Kazemi,Iran,713368646,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:713368646)', 'type': 'RevisionNotFound'}}"
2380,Diabete Aboubacar Siriki,Ivorian,713381693,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:713381693)', 'type': 'RevisionNotFound'}}"
2565,Fawzi al-Ghazzi,Syria,714352602,"{'error': {'message': 'TextDeleted: Text deleted (datasource.revision.text)', 'type': 'TextDeleted'}}"
2878,Armin Halitović,Bosnia-Herzegovina,715273866,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:715273866)', 'type': 'RevisionNotFound'}}"
2932,James H. Stuart,Canada,715457941,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:715457941)', 'type': 'RevisionNotFound'}}"
2974,Gissur Petersson,Iceland,715534283,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:715534283)', 'type': 'RevisionNotFound'}}"
